Processed Tokens,Wiki,AlQuds,Corpus A Terms or types,Corpus B Terms or types
32200000,805942,627413,805942,627413
32300000,807487,628360,807487,628360
32400000,809301,629758,809301,629758
32500000,810871,630804,810871,630804
32600000,812148,631955,812148,631955
32700000,813284,633183,813284,633183
32800000,814451,634370,814451,634370
32900000,815548,635346,815548,635346
33000000,816921,636600,816921,636600
33100000,818312,637999,818312,637999
33200000,819556,639167,819556,639167
33300000,821057,640189,821057,640189
33400000,822597,641389,822597,641389
33500000,823915,642593,823915,642593
33600000,825508,643843,825508,643843
33700000,826615,645138,826615,645138
33800000,828113,646489,828113,646489
33900000,829570,647580,829570,647580
34000000,830804,648604,830804,648604
34100000,831683,649592,831683,649592
34200000,832836,650865,832836,650865
34300000,833887,651789,833887,651789
34400000,834715,653394,834715,653394
34500000,835974,654389,835974,654389
34600000,837255,655264,837255,655264
34700000,838462,656182,838462,656182
34800000,839741,657558,839741,657558
34900000,840768,658890,840768,658890
35000000,841981,660123,841981,660123
35100000,843327,661606,843327,661606
35200000,845136,662529,845136,662529
35300000,846442,663446,846442,663446
35400000,847999,664555,847999,664555
35500000,849403,665751,849403,665751
35600000,851034,666888,851034,666888
35700000,852737,668331,852737,668331
35800000,854199,669594,854199,669594
35900000,855707,670608,855707,670608
36000000,857103,672242,857103,672242
36100000,858496,673152,858496,673152
36200000,860142,674209,860142,674209
36300000,861546,675438,861546,675438
36400000,863001,676805,863001,676805
36500000,864355,677989,864355,677989
36600000,865579,679086,865579,679086
36700000,867258,680523,867258,680523
36800000,868556,681409,868556,681409
36900000,870214,682565,870214,682565
37000000,871728,683605,871728,683605
37100000,872943,684695,872943,684695
37200000,874192,686245,874192,686245
37300000,875662,687373,875662,687373
37400000,876859,688349,876859,688349
37500000,877887,689659,877887,689659
37600000,879702,690709,879702,690709
37700000,880854,691602,880854,691602
37800000,883042,692485,883042,692485
37900000,884293,693650,884293,693650
38000000,885657,695132,885657,695132
38100000,886944,696514,886944,696514
38200000,888053,697500,888053,697500
38300000,889228,698731,889228,698731
38400000,890457,699922,890457,699922
38500000,891815,701057,891815,701057
38600000,892860,702144,892860,702144
38700000,894514,703253,894514,703253
38800000,896204,704717,896204,704717
38900000,897761,705704,897761,705704
39000000,899253,706865,899253,706865
39100000,900703,708105,900703,708105
39200000,902094,709159,902094,709159
39300000,903370,710105,903370,710105
39400000,904763,711023,904763,711023
39500000,906377,712008,906377,712008
39600000,907295,713537,907295,713537
39700000,908291,714360,908291,714360
39800000,909836,715361,909836,715361
39900000,911151,716547,911151,716547
40000000,912555,717304,912555,717304
40100000,913876,718073,913876,718073
40200000,915445,719064,915445,719064
40300000,917034,720088,917034,720088
40400000,918261,721384,918261,721384
40500000,920022,722254,920022,722254
40600000,921199,723115,921199,723115
40700000,922646,724351,922646,724351
40800000,924932,725185,924932,725185
40900000,927315,726624,927315,726624
41000000,928713,727475,928713,727475
41100000,930075,728445,930075,728445
41200000,931467,729834,931467,729834
41300000,932907,730669,932907,730669
41400000,934258,731553,934258,731553
41500000,935041,732783,935041,732783
41600000,936160,733417,936160,733417
41700000,937425,734196,937425,734196
41800000,938806,735086,938806,735086
41900000,940148,735906,940148,735906
42000000,941645,736952,941645,736952
42100000,943101,738327,943101,738327
42200000,944050,739304,944050,739304
42300000,945161,740542,945161,740542
42400000,946227,741484,946227,741484
42500000,947476,742336,947476,742336
42600000,948506,743211,948506,743211
42700000,949272,744141,949272,744141
42800000,950259,745389,950259,745389
42900000,951364,746451,951364,746451
43000000,952433,747277,952433,747277
43100000,953572,748238,953572,748238
43200000,954642,749236,954642,749236
43300000,955747,750036,955747,750036
43400000,956800,750748,956800,750748
43500000,958257,751745,958257,751745
43600000,959352,752743,959352,752743
43700000,960337,754096,960337,754096
43800000,961550,754909,961550,754909
43900000,962769,755899,962769,755899
44000000,963875,756849,963875,756849
44100000,964968,757652,964968,757652
44200000,965955,758637,965955,758637
44300000,967026,759949,967026,759949
44400000,968249,761210,968249,761210
44500000,969457,762130,969457,762130
44600000,970569,763050,970569,763050
44700000,971676,764196,971676,764196
44800000,972923,765032,972923,765032
44900000,974406,765960,974406,765960
45000000,975536,766813,975536,766813
45100000,976800,768124,976800,768124
45200000,977903,769216,977903,769216
45300000,978796,770008,978796,770008
45400000,979867,771178,979867,771178
45500000,980930,772278,980930,772278
45600000,982113,773089,982113,773089
45700000,983130,773935,983130,773935
45800000,984621,774799,984621,774799
45900000,985598,776276,985598,776276
46000000,986722,777397,986722,777397
46100000,988055,778273,988055,778273
46200000,989113,779192,989113,779192
46300000,990431,779982,990431,779982
46400000,991622,780819,991622,780819
46500000,992767,781721,992767,781721
46600000,993139,782786,993139,782786
46700000,993216,784230,993216,784230
46800000,993306,785122,993306,785122
46900000,993383,786035,993383,786035
47000000,993415,787207,993415,787207
47100000,993462,788251,993462,788251
47200000,995100,789110,995100,789110
47300000,996008,790131,996008,790131
47400000,997177,791117,997177,791117
47500000,998390,792350,998390,792350
47600000,999784,793329,999784,793329
47700000,1000942,794244,1000942,794244
47800000,1002466,795186,1002466,795186
47900000,1003634,795934,1003634,795934
48000000,1004781,796677,1004781,796677
48100000,1005949,797449,1005949,797449
48200000,1007147,798521,1007147,798521
48300000,1008277,799652,1008277,799652
48400000,1009513,800535,1009513,800535
48500000,1011080,801744,1011080,801744
48600000,1012468,802587,1012468,802587
48700000,1013763,803613,1013763,803613
48800000,1014990,804458,1014990,804458
48900000,1016290,805232,1016290,805232
49000000,1017455,806425,1017455,806425
49100000,1018410,807377,1018410,807377
49200000,1019497,808281,1019497,808281
49300000,1020755,809228,1020755,809228
49400000,1021845,810000,1021845,810000
49500000,1023142,811432,1023142,811432
49600000,1024425,812430,1024425,812430
49700000,1025384,813483,1025384,813483
49800000,1026422,814685,1026422,814685
49900000,1027503,815670,1027503,815670
50000000,1028576,816559,1028576,816559
50100000,1029894,817834,1029894,817834
50200000,1031203,818638,1031203,818638
50300000,1032255,819308,1032255,819308
50400000,1033592,820166,1033592,820166
50500000,1034916,820975,1034916,820975
50600000,1036168,821820,1036168,821820
50700000,1037210,822937,1037210,822937
50800000,1038260,823842,1038260,823842
50900000,1039455,824849,1039455,824849
51000000,1040698,825738,1040698,825738
51100000,1041917,826547,1041917,826547
51200000,1042925,827942,1042925,827942
51300000,1044201,828842,1044201,828842
51400000,1045673,829741,1045673,829741
51500000,1047031,830893,1047031,830893
51600000,1048097,831705,1048097,831705
51700000,1049182,832689,1049182,832689
51800000,1050155,833595,1050155,833595
51900000,1051388,834437,1051388,834437
52000000,1052764,835730,1052764,835730
52100000,1053778,836656,1053778,836656
52200000,1054541,837777,1054541,837777
52300000,1055589,838852,1055589,838852
52400000,1056769,839707,1056769,839707
52500000,1057908,840943,1057908,840943
52600000,1058992,842009,1058992,842009
52700000,1060024,842943,1060024,842943
52800000,1061421,844179,1061421,844179
